pt_c,soc_c,llt_n,soc_n
10031068,10021881,Orchitis mumps,Infections and infestations
10033653,10021881,Pancreatitis mumps,Infections and infestations
10036117,10021881,Polyneuropathy mumps,Infections and infestations
10075137,10021881,Mumps deafness,Infections and infestations
10029393,10021881,Newcastle disease,Infections and infestations
10051800,10021881,Cervicitis human papilloma virus,Infections and infestations
10052339,10021881,Epidermodysplasia verruciformis,Infections and infestations
10061331,10021881,Papilloma viral infection,Infections and infestations
10066416,10021881,Vulvovaginal human papilloma virus infection,Infections and infestations
10073941,10021881,Anorectal human papilloma virus infection,Infections and infestations
10076576,10021881,Focal epithelial hyperplasia,Infections and infestations
10033797,10021881,Parainfluenzae viral laryngotracheobronchitis,Infections and infestations
10035727,10021881,Pneumonia parainfluenzae viral,Infections and infestations
10061907,10021881,Parainfluenzae virus infection,Infections and infestations
10085549,10021881,Parainfluenzae viral bronchitis,Infections and infestations
10006048,10021881,Bovine pustular stomatitis virus infection,Infections and infestations
10031071,10021881,Orf,Infections and infestations
10053045,10021881,Milker's nodules,Infections and infestations
10072078,10021881,Parapox virus infection,Infections and infestations
10033976,10021881,Paravaccinia,Infections and infestations
10015214,10021881,Erythema infectiosum,Infections and infestations
10034099,10021881,Parvovirus B19 infection,Infections and infestations
10057343,10021881,Parvovirus infection,Infections and infestations
10076281,10021881,Parvovirus B19 infection reactivation,Infections and infestations
10077391,10021881,Human bocavirus infection,Infections and infestations
10034905,10021881,Phlebotomus fever,Infections and infestations
10039143,10021881,Rift Valley fever,Infections and infestations
10078387,10021881,Severe fever with thrombocytopenia syndrome,Infections and infestations
10081562,10021881,Heartland virus infection,Infections and infestations
10006545,10021881,Bulbar poliomyelitis,Infections and infestations
10036011,10021881,Polioencephalitis,Infections and infestations
10036012,10021881,Poliomyelitis,Infections and infestations
10076716,10021881,Vaccine associated paralytic poliomyelitis,Infections and infestations
10011384,10021881,Creutzfeldt-Jakob disease,Infections and infestations
10023497,10021881,Kuru,Infections and infestations
10041047,10021881,Slow virus infection,Infections and infestations
10064199,10021881,Variant Creutzfeldt-Jakob disease,Infections and infestations
10072075,10021881,Gerstmann Straussler Scheinker syndrome,Infections and infestations
10079301,10021881,Prion disease,Infections and infestations
10037742,10021881,Rabies,Infections and infestations
10035732,10021881,Pneumonia respiratory syncytial viral,Infections and infestations
10038718,10021881,Respiratory syncytial virus bronchiolitis,Infections and infestations
10061603,10021881,Respiratory syncytial virus infection,Infections and infestations
10069811,10021881,Respiratory syncytial virus bronchitis,Infections and infestations
10000565,10021881,Acquired immunodeficiency syndrome,Infections and infestations
10000807,10021881,Acute HIV infection,Infections and infestations
10001513,10021881,AIDS related complex,Infections and infestations
10003581,10021881,Asymptomatic HIV infection,Infections and infestations
10014894,10021881,Enterocolitis AIDS,Infections and infestations
10020161,10021881,HIV infection,Infections and infestations
10020162,10021881,HIV infection CDC Group I,Infections and infestations
10020163,10021881,HIV infection CDC Group II,Infections and infestations
10020164,10021881,HIV infection CDC Group III,Infections and infestations
10020166,10021881,HIV infection CDC Group IV subgroup A,Infections and infestations
10020167,10021881,HIV infection CDC Group IV subgroup B,Infections and infestations
10020168,10021881,HIV infection CDC Group IV subgroup C1,Infections and infestations
10020169,10021881,HIV infection CDC Group IV subgroup C2,Infections and infestations
10020170,10021881,HIV infection CDC Group IV subgroup D,Infections and infestations
10020171,10021881,HIV infection CDC Group IV subgroup E,Infections and infestations
10020194,10021881,HIV-2 infection,Infections and infestations
10020460,10021881,Human T-cell lymphotropic virus type I infection,Infections and infestations
10044696,10021881,Tropical spastic paresis,Infections and infestations
10049025,10021881,Persistent generalised lymphadenopathy,Infections and infestations
10049076,10021881,End stage AIDS,Infections and infestations
10050309,10021881,HIV wasting syndrome,Infections and infestations
10053227,10021881,AIDS retinopathy,Infections and infestations
10058489,10021881,Human T-cell lymphocytic virus type II infection,Infections and infestations
10061493,10021881,Retroviral infection,Infections and infestations
10061519,10021881,HIV infection CDC group IV,Infections and infestations
10061624,10021881,AIDS related complication,Infections and infestations
10062007,10021881,Human T-cell lymphotropic virus infection,Infections and infestations
10064446,10021881,HIV infection WHO clinical stage I,Infections and infestations
10064447,10021881,HIV infection WHO clinical stage II,Infections and infestations
10064448,10021881,HIV infection WHO clinical stage III,Infections and infestations
10064456,10021881,HIV infection WHO clinical stage IV,Infections and infestations
10065681,10021881,HIV peripheral neuropathy,Infections and infestations
10065989,10021881,Retroviral rebound syndrome,Infections and infestations
10067092,10021881,AIDS cholangiopathy,Infections and infestations
10069658,10021881,HIV cardiomyopathy,Infections and infestations
10069691,10021881,HIV enteropathy,Infections and infestations
10070737,10021881,HIV associated nephropathy,Infections and infestations
10071049,10021881,Perinatal HIV infection,Infections and infestations
10075708,10021881,HIV infection CDC category A,Infections and infestations
10075709,10021881,HIV infection CDC category B,Infections and infestations
10075710,10021881,HIV infection CDC category C,Infections and infestations
10077716,10021881,HIV viraemia,Infections and infestations
10078164,10021881,HIV-associated neurocognitive disorder,Infections and infestations
10078720,10021881,HIV lipodystrophy,Infections and infestations
10081027,10021881,CSF HIV escape syndrome,Infections and infestations
10082425,10021881,Papular pruritic eruption of HIV,Infections and infestations
10083411,10021881,HIV meningoencephalitis,Infections and infestations
10061494,10021881,Rhinovirus infection,Infections and infestations
10017913,10021881,Gastroenteritis rotavirus,Infections and infestations
10067470,10021881,Rotavirus infection,Infections and infestations
10003270,10021881,Arthritis rubella,Infections and infestations
10014622,10021881,Encephalomyelitis rubella,Infections and infestations
10039252,10021881,Rubella,Infections and infestations
10039264,10021881,Rubella in pregnancy,Infections and infestations
10061496,10021881,Rubella infection neurological,Infections and infestations
10023349,10021881,Keratoconjunctivitis measles,Infections and infestations
10027011,10021881,Measles,Infections and infestations
10033085,10021881,Otitis media post measles,Infections and infestations
10035722,10021881,Pneumonia measles,Infections and infestations
10052000,10021881,Measles post vaccine,Infections and infestations
10077286,10021881,Post measles blindness,Infections and infestations
10080466,10021881,Measles meningitis,Infections and infestations
10003274,10021881,Arthritis viral,Infections and infestations
10006448,10021881,Bronchiolitis,Infections and infestations
10010755,10021881,Conjunctivitis viral,Infections and infestations
10014612,10021881,Encephalitis viral,Infections and infestations
10015940,10021881,Eye infection viral,Infections and infestations
10016961,10021881,Foot and mouth disease,Infections and infestations
10017918,10021881,Gastroenteritis viral,Infections and infestations
10019799,10021881,Hepatitis viral,Infections and infestations
10023880,10021881,Laryngitis viral,Infections and infestations
10027260,10021881,Meningitis viral,Infections and infestations
10035737,10021881,Pneumonia viral,Infections and infestations
10038915,10021881,Retinitis viral,Infections and infestations
10042666,10021881,Sweating fever,Infections and infestations
10047393,10021881,Vestibular neuronitis,Infections and infestations
10047461,10021881,Viral infection,Infections and infestations
10047466,10021881,Viral labyrinthitis,Infections and infestations
10047470,10021881,Viral myocarditis,Infections and infestations
10047472,10021881,Viral pericarditis,Infections and infestations
10047473,10021881,Viral pharyngitis,Infections and infestations
10047476,10021881,Viral rash,Infections and infestations
10047480,10021881,Viral tonsillitis,Infections and infestations
10047481,10021881,Viral tracheitis,Infections and infestations
10047482,10021881,Viral upper respiratory tract infection,Infections and infestations
10051511,10021881,Viral diarrhoea,Infections and infestations
10051512,10021881,Viral myositis,Infections and infestations
10051513,10021881,Viral sinusitis,Infections and infestations
10051791,10021881,Gastritis viral,Infections and infestations
10052761,10021881,Pleurisy viral,Infections and infestations
10053160,10021881,Bronchitis viral,Infections and infestations
10053418,10021881,Peritonitis viral,Infections and infestations
10053842,10021881,Gianotti-Crosti syndrome,Infections and infestations
10054775,10021881,Viral corneal ulcer,Infections and infestations
10056281,10021881,Viral vasculitis,Infections and infestations
10057244,10021881,Post viral fatigue syndrome,Infections and infestations
10058682,10021881,Vaginitis viral,Infections and infestations
10059346,10021881,Viral haemorrhagic cystitis,Infections and infestations
10060190,10021881,Viral oesophagitis,Infections and infestations
10061037,10021881,Central nervous system viral infection,Infections and infestations
10061192,10021881,Haemorrhagic fever,Infections and infestations
10061556,10021881,Tracheobronchitis viral,Infections and infestations
10061830,10021881,Ear infection viral,Infections and infestations
10061837,10021881,Endocarditis viral,Infections and infestations
10061841,10021881,Enterocolitis viral,Infections and infestations
10062029,10021881,Keratitis viral,Infections and infestations
10062106,10021881,Respiratory tract infection viral,Infections and infestations
10063838,10021881,Asymptomatic viral hepatitis,Infections and infestations
10064034,10021881,Nipah virus infection,Infections and infestations
10064825,10021881,Urinary tract infection viral,Infections and infestations
10064948,10021881,Viral rhinitis,Infections and infestations
10065173,10021881,Viral skin infection,Infections and infestations
10065177,10021881,Otitis media viral,Infections and infestations
10065178,10021881,Otitis externa viral,Infections and infestations
10065188,10021881,Lower respiratory tract infection viral,Infections and infestations
10065192,10021881,Pancreatitis viral,Infections and infestations
10065196,10021881,Splenic infection viral,Infections and infestations
10065197,10021881,Cystitis viral,Infections and infestations
10065201,10021881,Biliary tract infection viral,Infections and infestations
10065209,10021881,Lymphadenitis viral,Infections and infestations
10065213,10021881,Pyelonephritis viral,Infections and infestations
10065222,10021881,Genital infection viral,Infections and infestations
10065234,10021881,Oral viral infection,Infections and infestations
10065238,10021881,Osteomyelitis viral,Infections and infestations
10065241,10021881,Wound infection viral,Infections and infestations
10065245,10021881,Nail bed infection viral,Infections and infestations
10066226,10021881,Metapneumovirus infection,Infections and infestations
10066983,10021881,Superinfection viral,Infections and infestations
10068095,10021881,Eruptive pseudoangiomatosis,Infections and infestations
10068767,10021881,Viral cardiomyopathy,Infections and infestations
10069049,10021881,Gastrointestinal viral infection,Infections and infestations
10071005,10021881,Viral uveitis,Infections and infestations
10071220,10021881,Withdrawal hepatitis,Infections and infestations
10071362,10021881,Viral sepsis,Infections and infestations
10071449,10021881,Parechovirus infection,Infections and infestations
10071763,10021881,Viral myelitis,Infections and infestations
10072589,10021881,Viral parotitis,Infections and infestations
10074560,10021881,Viral mastitis,Infections and infestations
10074672,10021881,Meningoencephalitis viral,Infections and infestations
10074996,10021881,Viral epiglottitis,Infections and infestations
10076233,10021881,Picornavirus infection,Infections and infestations
10078452,10021881,Systemic viral infection,Infections and infestations
10078694,10021881,Viral keratouveitis,Infections and infestations
10085548,10021881,Metapneumovirus bronchiolitis,Infections and infestations
10085550,10021881,Metapneumovirus pneumonia,Infections and infestations
10086128,10021881,Encephalomyelitis viral,Infections and infestations
10086461,10021881,Viruria,Infections and infestations
10086710,10021881,Borna virus infection,Infections and infestations
10086819,10021881,Viral abdominal infection,Infections and infestations
10088522,10021881,Proctitis viral,Infections and infestations
10088536,10021881,Capripox viral infection,Infections and infestations
10014071,10021881,Ebola disease,Infections and infestations
10026822,10021881,Marburg disease,Infections and infestations
10069642,10021881,Ebola Reston virus infection,Infections and infestations
10074831,10021881,Filovirus infection,Infections and infestations
10010022,10021881,Colorado tick fever,Infections and infestations
10010685,10021881,Congo-Crimean haemorrhagic fever,Infections and infestations
10014584,10021881,Encephalitis california,Infections and infestations
10031058,10021881,Orbivirus infection,Infections and infestations
10067668,10021881,Arboviral infection,Infections and infestations
10069558,10021881,Snowshoe hare virus infection,Infections and infestations
10080465,10021881,Oropouche fever,Infections and infestations
10080489,10021881,Reoviral infection,Infections and infestations
10086519,10021881,Jamestown Canyon virus infection,Infections and infestations
10086521,10021881,Jamestown Canyon encephalitis,Infections and infestations
10088316,10021881,Cache Valley virus infection,Infections and infestations
10012310,10021881,Dengue fever,Infections and infestations
10014583,10021881,Encephalitis australia,Infections and infestations
10014596,10021881,Encephalitis Japanese B,Infections and infestations
10023505,10021881,Kyasanur Forest disease,Infections and infestations
10024887,10021881,Louping ill,Infections and infestations
10030310,10021881,Omsk haemorrhagic fever,Infections and infestations
10041896,10021881,St. Louis encephalitis,Infections and infestations
10043847,10021881,Tick-borne viral encephalitis,Infections and infestations
10048240,10021881,Yellow fever,Infections and infestations
10053981,10021881,Murray Valley encephalitis,Infections and infestations
10054261,10021881,Flavivirus infection,Infections and infestations
10055776,10021881,Dengue haemorrhagic fever,Infections and infestations
10057293,10021881,West Nile viral infection,Infections and infestations
10069197,10021881,Yellow fever vaccine-associated viscerotropic disease,Infections and infestations
10069198,10021881,Yellow fever vaccine-associated neurotropic disease,Infections and infestations
10078205,10021881,Zika virus infection,Infections and infestations
10080440,10021881,Rocio virus infection,Infections and infestations
10081046,10021881,Zika virus associated Guillain Barre syndrome,Infections and infestations
10083334,10021881,Alongshan virus infection,Infections and infestations
10087786,10021881,Breakthrough dengue fever,Infections and infestations
10087792,10021881,Dengue shock syndrome,Infections and infestations
10023163,10021881,JC virus infection,Infections and infestations
10036807,10021881,Progressive multifocal leukoencephalopathy,Infections and infestations
10055181,10021881,BK virus infection,Infections and infestations
10057366,10021881,Human polyomavirus infection,Infections and infestations
10065381,10021881,Polyomavirus-associated nephropathy,Infections and infestations
10074361,10021881,JC virus granule cell neuronopathy,Infections and infestations
10083628,10021881,Polyomavirus viraemia,Infections and infestations
10085267,10021881,Merkel cell polyomavirus infection,Infections and infestations
10086296,10021881,WU virus infection,Infections and infestations
10011238,10021881,Cow pox,Infections and infestations
10041197,10021881,Smallpox,Infections and infestations
10046865,10021881,Vaccinia virus infection,Infections and infestations
10066042,10021881,Eczema vaccinatum,Infections and infestations
10066043,10021881,Post vaccination autoinoculation,Infections and infestations
10069538,10021881,Monkeypox,Infections and infestations
10069540,10021881,Generalised vaccinia,Infections and infestations
10069582,10021881,Progressive vaccinia,Infections and infestations
10069586,10021881,Orthopox virus infection,Infections and infestations
10088113,10021881,Ocular vaccinia virus infection,Infections and infestations
10014909,10021881,Enterovirus infection,Infections and infestations
10017901,10021881,Gastroenteritis enteroviral,Infections and infestations
10019113,10021881,Hand-foot-and-mouth disease,Infections and infestations
10027233,10021881,Meningitis enteroviral,Infections and infestations
10061035,10021881,Central nervous system enteroviral infection,Infections and infestations
10063946,10021881,Encephalitis enteroviral,Infections and infestations
10067817,10021881,Acute haemorrhagic conjunctivitis,Infections and infestations
10075553,10021881,Enterovirus myocarditis,Infections and infestations
10051905,10021881,Coronavirus infection,Infections and infestations
10061982,10021881,Severe acute respiratory syndrome,Infections and infestations
10075271,10021881,Middle East respiratory syndrome,Infections and infestations
10084268,10021881,COVID-19,Infections and infestations
10084380,10021881,COVID-19 pneumonia,Infections and infestations
10084381,10021881,Coronavirus pneumonia,Infections and infestations
10084451,10021881,Suspected COVID-19,Infections and infestations
10084639,10021881,SARS-CoV-2 sepsis,Infections and infestations
10084640,10021881,SARS-CoV-2 viraemia,Infections and infestations
10085076,10021881,HCoV-229E infection,Infections and infestations
10085077,10021881,HCoV-OC43 infection,Infections and infestations
10085078,10021881,HCoV-NL63 infection,Infections and infestations
10085079,10021881,HCoV-HKU1 infection,Infections and infestations
10085492,10021881,Vaccine derived SARS-CoV-2 infection,Infections and infestations
10085503,10021881,Post-acute COVID-19 syndrome,Infections and infestations
10086861,10021881,Breakthrough COVID-19,Infections and infestations
10008910,10021881,Chronic hepatitis B,Infections and infestations
10008912,10021881,Chronic hepatitis C,Infections and infestations
10019719,10021881,Hepatitis A,Infections and infestations
10019731,10021881,Hepatitis B,Infections and infestations
10019744,10021881,Hepatitis C,Infections and infestations
10019762,10021881,Hepatitis D,Infections and infestations
10019768,10021881,Hepatitis E,Infections and infestations
10019771,10021881,Hepatitis F,Infections and infestations
10019773,10021881,Hepatitis G,Infections and infestations
10019776,10021881,Hepatitis H,Infections and infestations
10019786,10021881,Hepatitis non-A non-B,Infections and infestations
10019787,10021881,Hepatitis non-A non-B non-C,Infections and infestations
10058827,10021881,Hepatitis B reactivation,Infections and infestations
10059193,10021881,Acute hepatitis B,Infections and infestations
10065051,10021881,Acute hepatitis C,Infections and infestations
10068610,10021881,Hepatitis virus-associated nephropathy,Infections and infestations
10075233,10021881,Perinatal HBV infection,Infections and infestations
10010149,10022117,Complicated fracture,"Injury, poisoning and procedural complications"
10010214,10022117,Compression fracture,"Injury, poisoning and procedural complications"
10017076,10022117,Fracture,"Injury, poisoning and procedural complications"
10023204,10022117,Joint dislocation,"Injury, poisoning and procedural complications"
10028200,10022117,Multiple fractures,"Injury, poisoning and procedural complications"
10030527,10022117,Open fracture,"Injury, poisoning and procedural complications"
10042212,10022117,Stress fracture,"Injury, poisoning and procedural complications"
10049514,10022117,Traumatic fracture,"Injury, poisoning and procedural complications"
10052614,10022117,Comminuted fracture,"Injury, poisoning and procedural complications"
10053206,10022117,Fracture displacement,"Injury, poisoning and procedural complications"
10064210,10022117,Bone fissure,"Injury, poisoning and procedural complications"
10064211,10022117,Bone fragmentation,"Injury, poisoning and procedural complications"
10066184,10022117,Avulsion fracture,"Injury, poisoning and procedural complications"
10066386,10022117,Impacted fracture,"Injury, poisoning and procedural complications"
10072395,10022117,Atypical fracture,"Injury, poisoning and procedural complications"
10079667,10022117,Metaphyseal corner fracture,"Injury, poisoning and procedural complications"
10080550,10022117,Osteophyte fracture,"Injury, poisoning and procedural complications"
10081921,10022117,Cuboid syndrome,"Injury, poisoning and procedural complications"
10087273,10022117,Depressed fracture,"Injury, poisoning and procedural complications"
10088900,10022117,Ear ossicle fracture,"Injury, poisoning and procedural complications"
10000397,10022117,Acetabulum fracture,"Injury, poisoning and procedural complications"
10021343,10022117,Ilium fracture,"Injury, poisoning and procedural complications"
10061161,10022117,Pelvic fracture,"Injury, poisoning and procedural complications"
10074362,10022117,Sacroiliac fracture,"Injury, poisoning and procedural complications"
10016042,10022117,Facial bones fracture,"Injury, poisoning and procedural complications"
10017310,10022117,Fractured skull depressed,"Injury, poisoning and procedural complications"
10023149,10022117,Jaw fracture,"Injury, poisoning and procedural complications"
10040960,10022117,Skull fractured base,"Injury, poisoning and procedural complications"
10061365,10022117,Skull fracture,"Injury, poisoning and procedural complications"
10077603,10022117,Craniofacial fracture,"Injury, poisoning and procedural complications"
10085093,10022117,Craniofacial injury,"Injury, poisoning and procedural complications"
10013183,10022117,Dislocation of vertebra,"Injury, poisoning and procedural complications"
10017308,10022117,Fractured sacrum,"Injury, poisoning and procedural complications"
10041541,10022117,Spinal compression fracture,"Injury, poisoning and procedural complications"
10041569,10022117,Spinal fracture,"Injury, poisoning and procedural complications"
10049164,10022117,Fractured coccyx,"Injury, poisoning and procedural complications"
10049946,10022117,Cervical vertebral fracture,"Injury, poisoning and procedural complications"
10049947,10022117,Lumbar vertebral fracture,"Injury, poisoning and procedural complications"
10049948,10022117,Thoracic vertebral fracture,"Injury, poisoning and procedural complications"
10052013,10022117,Spondylolysis,"Injury, poisoning and procedural complications"
10055040,10022117,Intervertebral disc injury,"Injury, poisoning and procedural complications"
10073162,10022117,Chance fracture,"Injury, poisoning and procedural complications"
10074807,10022117,Spinal fusion fracture,"Injury, poisoning and procedural complications"
10086533,10022117,Craniocervical dislocation,"Injury, poisoning and procedural complications"
10016747,10022117,Flail chest,"Injury, poisoning and procedural complications"
10039117,10022117,Rib fracture,"Injury, poisoning and procedural complications"
10042015,10022117,Sternal fracture,"Injury, poisoning and procedural complications"
10054892,10022117,Dislocation of sternum,"Injury, poisoning and procedural complications"
10077287,10022117,Costochondral separation,"Injury, poisoning and procedural complications"
10078358,10022117,Costal cartilage fracture,"Injury, poisoning and procedural complications"
10007710,10022117,Cartilage injury,"Injury, poisoning and procedural complications"
10042862,10022117,Synovial rupture,"Injury, poisoning and procedural complications"
10044502,10022117,Traumatic arthropathy,"Injury, poisoning and procedural complications"
10048873,10022117,Traumatic arthritis,"Injury, poisoning and procedural complications"
10057602,10022117,Bursa injury,"Injury, poisoning and procedural complications"
10060820,10022117,Joint injury,"Injury, poisoning and procedural complications"
10064867,10022117,Epiphyseal injury,"Injury, poisoning and procedural complications"
10072157,10022117,Meniscus cyst,"Injury, poisoning and procedural complications"
10072970,10022117,Meniscus injury,"Injury, poisoning and procedural complications"
10073690,10022117,Traumatic arthrosis,"Injury, poisoning and procedural complications"
10081222,10022117,Heel fat pad syndrome,"Injury, poisoning and procedural complications"
10088648,10022117,Lipohaemarthrosis,"Injury, poisoning and procedural complications"
10002544,10022117,Ankle fracture,"Injury, poisoning and procedural complications"
10009245,10022117,Clavicle fracture,"Injury, poisoning and procedural complications"
10016450,10022117,Femoral neck fracture,"Injury, poisoning and procedural complications"
10016454,10022117,Femur fracture,"Injury, poisoning and procedural complications"
10016667,10022117,Fibula fracture,"Injury, poisoning and procedural complications"
10016970,10022117,Foot fracture,"Injury, poisoning and procedural complications"
10016997,10022117,Forearm fracture,"Injury, poisoning and procedural complications"
10017107,10022117,Fracture of clavicle due to birth trauma,"Injury, poisoning and procedural complications"
10018720,10022117,Greenstick fracture,"Injury, poisoning and procedural complications"
10019114,10022117,Hand fracture,"Injury, poisoning and procedural complications"
10020100,10022117,Hip fracture,"Injury, poisoning and procedural complications"
10020462,10022117,Humerus fracture,"Injury, poisoning and procedural complications"
10034122,10022117,Patella fracture,"Injury, poisoning and procedural complications"
10037802,10022117,Radius fracture,"Injury, poisoning and procedural complications"
10039579,10022117,Scapula fracture,"Injury, poisoning and procedural complications"
10043827,10022117,Tibia fracture,"Injury, poisoning and procedural complications"
10045375,10022117,Ulna fracture,"Injury, poisoning and procedural complications"
10048049,10022117,Wrist fracture,"Injury, poisoning and procedural complications"
10049128,10022117,Shoulder fracture,"Injury, poisoning and procedural complications"
10053962,10022117,Epiphyseal fracture,"Injury, poisoning and procedural complications"
10058913,10022117,Bankart lesion,"Injury, poisoning and procedural complications"
10061394,10022117,Upper limb fracture,"Injury, poisoning and procedural complications"
10061599,10022117,Lower limb fracture,"Injury, poisoning and procedural complications"
10066094,10022117,Torus fracture,"Injury, poisoning and procedural complications"
10070073,10022117,Scapulothoracic dissociation,"Injury, poisoning and procedural complications"
10070884,10022117,Atypical femur fracture,"Injury, poisoning and procedural complications"
10073749,10022117,Radial head dislocation,"Injury, poisoning and procedural complications"
10073853,10022117,Osteochondral fracture,"Injury, poisoning and procedural complications"
10074551,10022117,Limb fracture,"Injury, poisoning and procedural complications"
10078749,10022117,Lisfranc fracture,"Injury, poisoning and procedural complications"
10081343,10022117,Maisonneuve fracture,"Injury, poisoning and procedural complications"
10081683,10022117,Anterior labroligamentous periosteal sleeve avulsion lesion,"Injury, poisoning and procedural complications"
10002899,10022117,Aortic injury,"Injury, poisoning and procedural complications"
10003162,10022117,Arterial injury,"Injury, poisoning and procedural complications"
10047080,10022117,Vascular injury,"Injury, poisoning and procedural complications"
10047194,10022117,Vena cava injury,"Injury, poisoning and procedural complications"
10047228,10022117,Venous injury,"Injury, poisoning and procedural complications"
10073356,10022117,Cardiac contusion,"Injury, poisoning and procedural complications"
10076751,10022117,Cardiac herniation,"Injury, poisoning and procedural complications"
10085907,10022117,Traumatic heart injury,"Injury, poisoning and procedural complications"
10003879,10022117,Axillary nerve injury,"Injury, poisoning and procedural complications"
10006074,10022117,Brachial plexus injury,"Injury, poisoning and procedural complications"
10016451,10022117,Femoral nerve injury,"Injury, poisoning and procedural complications"
10022158,10022117,Injury to brachial plexus due to birth trauma,"Injury, poisoning and procedural complications"
10025015,10022117,Lumbosacral plexus injury,"Injury, poisoning and procedural complications"
10027067,10022117,Median nerve injury,"Injury, poisoning and procedural complications"
10028373,10022117,Musculocutaneous nerve injury,"Injury, poisoning and procedural complications"
10034586,10022117,Peripheral nerve injury,"Injury, poisoning and procedural complications"
10034700,10022117,Peroneal nerve injury,"Injury, poisoning and procedural complications"
10036368,10022117,Posterior tibial nerve injury,"Injury, poisoning and procedural complications"
10037749,10022117,Radial nerve injury,"Injury, poisoning and procedural complications"
10039670,10022117,Sciatic nerve injury,"Injury, poisoning and procedural complications"
10045378,10022117,Ulnar nerve injury,"Injury, poisoning and procedural complications"
10041552,10022117,Spinal cord injury,"Injury, poisoning and procedural complications"
10041553,10022117,Spinal cord injury cauda equina,"Injury, poisoning and procedural complications"
10041554,10022117,Spinal cord injury cervical,"Injury, poisoning and procedural complications"
10041555,10022117,Spinal cord injury lumbar,"Injury, poisoning and procedural complications"
10041557,10022117,Spinal cord injury sacral,"Injury, poisoning and procedural complications"
10041558,10022117,Spinal cord injury thoracic,"Injury, poisoning and procedural complications"
10044542,10022117,Traumatic spinal cord compression,"Injury, poisoning and procedural complications"
10049679,10022117,Spinal shock,"Injury, poisoning and procedural complications"
10054839,10022117,Central cord syndrome,"Injury, poisoning and procedural complications"
10071695,10022117,Pneumorrhachis,"Injury, poisoning and procedural complications"
10074880,10022117,Prevertebral soft tissue swelling of cervical space,"Injury, poisoning and procedural complications"
10081361,10022117,Anterior cord syndrome,"Injury, poisoning and procedural complications"
10003797,10022117,Auricular haematoma,"Injury, poisoning and procedural complications"
10011893,10022117,Deafness occupational,"Injury, poisoning and procedural complications"
10011903,10022117,Deafness traumatic,"Injury, poisoning and procedural complications"
10013999,10022117,Ear canal stenosis traumatic,"Injury, poisoning and procedural complications"
10017010,10022117,Foreign body in ear,"Injury, poisoning and procedural complications"
10052434,10022117,Ear canal abrasion,"Injury, poisoning and procedural complications"
10056319,10022117,Ear canal injury,"Injury, poisoning and procedural complications"
10057446,10022117,Ear injury,"Injury, poisoning and procedural complications"
10068150,10022117,Acoustic shock,"Injury, poisoning and procedural complications"
10072807,10022117,Traumatic ear amputation,"Injury, poisoning and procedural complications"
10087063,10022117,Cochlear injury,"Injury, poisoning and procedural complications"
10005185,10022117,Blindness traumatic,"Injury, poisoning and procedural complications"
10007766,10022117,Cataract traumatic,"Injury, poisoning and procedural complications"
10010695,10022117,Conjunctival abrasion,"Injury, poisoning and procedural complications"
10010733,10022117,Conjunctival scar,"Injury, poisoning and procedural complications"
10010984,10022117,Corneal abrasion,"Injury, poisoning and procedural complications"
10014856,10022117,Enophthalmos traumatic,"Injury, poisoning and procedural complications"
10015948,10022117,Eye luxation,"Injury, poisoning and procedural complications"
10015971,10022117,Eyeball avulsion,"Injury, poisoning and procedural complications"
10017012,10022117,Foreign body in eye,"Injury, poisoning and procedural complications"
10018330,10022117,Glaucoma traumatic,"Injury, poisoning and procedural complications"
10020923,10022117,Hyphaema,"Injury, poisoning and procedural complications"
10022120,10022117,Injury corneal,"Injury, poisoning and procedural complications"
10027440,10022117,Metallosis of globe,"Injury, poisoning and procedural complications"
10034544,10022117,Periorbital haematoma,"Injury, poisoning and procedural complications"
10042530,10022117,Superficial injury of eye,"Injury, poisoning and procedural complications"
10057413,10022117,Iris injury,"Injury, poisoning and procedural complications"
10057430,10022117,Retinal injury,"Injury, poisoning and procedural complications"
10057436,10022117,Vitreous injury,"Injury, poisoning and procedural complications"
10059166,10022117,Keratorhexis,"Injury, poisoning and procedural complications"
10061128,10022117,Eye injury,"Injury, poisoning and procedural complications"
10063605,10022117,Uveal prolapse,"Injury, poisoning and procedural complications"
10067683,10022117,Eye laser scar,"Injury, poisoning and procedural complications"
10069200,10022117,Eyelid injury,"Injury, poisoning and procedural complications"
10070497,10022117,Aqueous humour leakage,"Injury, poisoning and procedural complications"
10071321,10022117,Commotio retinae,"Injury, poisoning and procedural complications"
10071697,10022117,Periorbital haemorrhage,"Injury, poisoning and procedural complications"
10073331,10022117,Lenticular injury,"Injury, poisoning and procedural complications"
10073354,10022117,Eye contusion,"Injury, poisoning and procedural complications"
10073500,10022117,Lacrimal structure injury,"Injury, poisoning and procedural complications"
10073679,10022117,Traumatic iritis,"Injury, poisoning and procedural complications"
10074785,10022117,Conjunctival laceration,"Injury, poisoning and procedural complications"
10075018,10022117,Eyelid contusion,"Injury, poisoning and procedural complications"
10075397,10022117,Bowman's membrane injury,"Injury, poisoning and procedural complications"
10075399,10022117,Persistent corneal epithelial defect,"Injury, poisoning and procedural complications"
10075519,10022117,Eyelash injury,"Injury, poisoning and procedural complications"
10076662,10022117,Closed globe injury,"Injury, poisoning and procedural complications"
10076717,10022117,Open globe injury,"Injury, poisoning and procedural complications"
10079837,10022117,Conjunctival retraction,"Injury, poisoning and procedural complications"
